Date,Virginia,California,Florida,Texas,Nevada,New York,New Jersey,Arizona,Tennessee,West Virginia,Georgia,North Carolina,Massachusetts,Hawaii,Colorado,Michigan,South Carolina,Vermont,Minnesota,Indiana,Washington,Illinois,Oregon,Connecticut,Utah,North Dakota,Montana,New Hampshire,Ohio,Missouri,Maryland,Idaho,Wisconsin,Kansas,Pennsylvania,Oklahoma,the District of Columbia,Nebraska,Alaska,New Mexico,Wyoming,Delaware,Rhode Island,Maine,Louisiana,Arkansas,Alabama,Mississippi,South Dakota,Iowa,Kentucky
2006-05-01,244506.27090433700,469481.667039891,238184.4097762070,126215.08979297200,332354.15257494900,223363.0218931880,326551.6402439030,268933.4457833050,118583.20689113400,80412.75196361110,147980.053146446,144577.1112015080,347062.9853199810,420819.5546323130,229398.79696303500,126555.02636262000,137016.08997392700,158779.0574210410,192988.1698472580,108288.82490321300,281170.13883269900,174328.13604638400,237963.87365876300,297111.43487632300,190915.52587586300,,159450.8376203160,245537.29269274300,118327.00660153000,121925.61438803100,305725.34837469800,175514.5380435310,150259.82645027600,94209.60294964860,143487.7579504010,89959.71521442100,361103.0603266840,121002.1895785920,209069.61421000800,161593.7383286630,169575.58185595700,241087.27023116800,287996.88366956600,176990.64483225300,117221.46391377000,95681.9877022537,99737.20265291820,87247.69569680800,116736.67180178400,99260.08314319520,99686.51596579040
2006-06-01,245474.63960182800,471297.4506583990,241231.65154735900,126796.30136409500,333523.6910213900,224451.50397797300,328713.71335972100,270557.04030079700,119276.58490739900,80712.86094247350,148465.0540882860,145375.53923905800,346527.1928675750,423566.93300765200,229862.35960031100,126369.02825533400,138105.99068906000,159731.181993973,193233.47329149900,108659.27841885100,284760.1014300980,174969.8751905300,241834.56409234900,298236.18408293400,193402.84542237500,,160749.69243060600,245908.32759590400,118469.62556234600,122235.97510614400,308660.38702020400,178809.74725415800,150489.58017439100,94467.7404037704,144522.51229295200,90298.92315364830,362204.18738620300,121278.88106104800,210397.6159017550,163620.66061782500,171344.94148972000,242682.3572292020,288402.6318238300,176861.72506051900,117921.7850582180,96134.03564248690,100502.05562666100,87844.78379940630,117116.54142202300,99462.50755541960,99901.06856362880
2006-07-01,246330.60763659300,471970.5988827290,243325.90211040000,127375.90683477300,333849.0942698310,225470.90125964600,330144.75740152900,270883.56435356600,119975.56882435600,81010.16047114890,148975.90630347200,146189.68477423000,345035.8336025620,425629.9736506240,230143.13453570200,126153.90751666500,139230.94406903600,160655.15796522300,193260.52916671200,109096.03634288500,288071.57333825300,175458.9759532010,245444.18542439200,299018.61957915300,196479.61695620400,,161995.88462378700,245691.58567343100,118597.14168202500,122553.84396954400,311289.6256772240,181264.16071770000,150634.32286642700,94735.18485150380,145480.393820035,90635.6964056316,362048.99989293400,121513.49466828800,211890.8997402380,165393.0927871980,173219.6282898600,244146.86322465900,287850.15687975600,176683.8300098610,118500.79078487100,96562.46487147290,101213.52639993000,88266.34802047920,117619.14213468200,99707.43807262320,100089.47316619200
2006-08-01,246891.40102254800,471974.9700537800,244702.41309248700,127890.84667663600,333539.8895368370,226383.26532801500,330794.51821561500,270088.41085827500,120688.52582594500,81252.51347492830,149504.07060984100,147025.69245466600,343135.55672074500,427484.7297013010,230398.57128168600,125898.57999128600,140252.24651197400,161580.58517624100,193145.5442356770,109515.40468253200,291073.6881378620,175824.18541903200,248673.640417445,299300.7558623470,199897.37890567600,,163268.91959560300,245444.47713864500,118679.59609995500,122839.16561631400,313361.83369026100,183395.5313495700,150794.78975126300,95085.95002538840,146255.44788397300,90964.06137807340,361567.4851985800,121603.6307425760,213600.50974336000,167212.41612787000,174657.9136674300,245452.87143955800,286912.4002990060,176675.62100548600,119153.0593797080,96964.54068010030,101947.09843717700,88898.53272415510,117944.22279677200,99968.4042210824,100272.12612456800
2006-09-01,246975.42131170000,470962.5277811990,245280.241915534,128438.43775436800,332859.67466974500,226973.82444764100,330887.4772017890,268360.4958572310,121345.1616465400,81523.8576815689,149976.35171724300,147833.98984699700,340828.1874211130,429407.9500668380,230454.6447388700,125616.58916096400,141124.88563223500,162431.99081785100,192801.92882329800,109841.34416508500,293722.40670811600,176116.81079315600,250729.17375630000,299356.2348849190,203263.45018884100,,164338.98618868600,245047.2455006070,118708.50574507700,123133.86207948200,314712.8758569040,185181.99798979500,151032.5908286240,95365.9897984162,146795.67487694100,91249.01164584470,360932.7807582760,121714.90795144500,215497.81496611700,168946.72736371500,175921.65093872200,246580.02079146400,285365.32294364200,176916.0506791190,119723.5118731150,97359.1268693029,102586.54351632300,89563.67403750700,118255.50580797300,100221.61530664800,100520.65586309700
2006-10-01,246698.47243104300,469809.6555508690,245256.32327192800,129114.7727209950,331593.7937981760,227407.2776263950,330483.30188541000,267103.9055184630,121961.89929447900,81897.81687521350,150393.07409286800,148575.8083737480,338761.39719395300,430159.8962856260,230368.8769931310,125295.3919141550,141846.19437493700,163295.6888474520,192526.94192156400,110227.08620159500,295987.74538161800,176348.14790513500,252231.28532907900,299057.46555837400,206307.81322266900,,165374.01115701900,244347.39831217800,118691.07333351200,123456.02418848800,315147.38875035100,185157.00148498200,151320.35885580100,95655.9135014719,147216.25558094300,91535.39434110440,359899.00520221600,121858.30115853100,217278.21365294400,170629.64980500200,177219.18389898200,247744.86862519300,283779.14475383400,177400.58781475400,120243.72040418900,97659.23360799670,103155.02372772400,90384.34488063240,118398.6570699950,100457.40552445400,100790.73041084100
2006-11-01,246364.16699846200,468580.63350955300,244890.6996465260,129762.52870824400,329765.06693219700,227657.69932602500,329804.3672267700,265413.90637666600,122474.93138432100,82132.74579222680,150702.0724605650,149196.11783899600,336593.67058442300,431101.35559670300,230056.72418501100,124926.89400802200,142391.4289416890,164190.96717890400,192235.83952331300,110524.7537730710,297604.7239468890,176553.54904044500,253387.98369755200,298537.22366093500,209139.23311505200,,166407.31796677300,243500.7109523380,118617.91152917000,123784.85748697700,315234.4919749520,185336.63336595700,151552.3349949400,95875.47608041630,147552.3497389700,91819.21018154020,358288.4815749690,122085.8780529910,218668.20027753500,172076.7923805910,178641.25763584600,248216.1705036470,282005.7691925830,177720.2650772670,120760.28127691800,97916.78592020720,103509.62936297700,91062.58425310300,118658.36652918700,100685.81746511300,101065.41051533700
2006-12-01,246144.02740907500,467513.99450821200,244157.26177248700,130405.08656116600,328474.5776020600,227923.20142787800,328742.7090980450,263697.4797763210,122917.4323283280,82265.15803505180,151040.3876179970,149753.2077717350,334691.23159511400,431300.6296123200,229927.09837168700,124478.39165174800,142829.31198675800,165039.21999886400,192127.28757317600,110794.97605330400,298745.99111551600,176831.4491315720,254534.69330685800,298016.4521672980,211698.1330634680,,167533.13116983500,242508.11812410400,118497.07388065500,124052.52039174600,315039.70229104500,185329.1328022440,151702.33013388000,96152.31392955020,147835.95438427500,92100.77134876230,356786.3268754080,122266.13054876500,220059.82745728100,173216.93068274500,179938.2070076310,248424.92469776300,280621.12457496700,177936.8859453820,121237.88924291300,98125.57120592010,103778.70018035400,91593.35463745500,118998.68155460900,100931.00881816300,101257.90046968000
2007-01-01,245896.9892459240,466632.7693656400,243228.6691525950,130744.74492431000,327126.1749958370,228145.03531299300,327637.93046683100,261885.48105487100,123235.0830047640,82282.02072562070,151351.44064643700,150316.46098260000,333290.2022043790,431655.361955582,229883.30156180700,123960.77417528300,143208.64479076000,165896.3035340710,192124.95934877700,110887.76257895300,299603.88490748500,177259.899525348,255436.97707674600,297837.5432640560,214247.24894736500,,168396.60194248500,241640.40129827100,118366.23625092900,124243.30701674600,314872.3204989780,186543.36023189300,151923.7641966220,96378.41888999110,148122.8729383520,92341.14956806580,356247.7529489990,122416.99105701600,221188.91655626700,174048.31385944300,180965.62472294100,247866.57875302900,279115.32342022100,178114.36760350300,121687.70662149000,98311.58417778480,103932.54128655200,91985.02034677540,119571.30252094700,101149.55462552000,101413.92688441700
2007-02-01,245792.1839231320,465598.66581247700,242224.78241033000,130879.09118528200,326210.28004267900,228326.54917786600,326831.5945549800,260604.63566764500,123561.23297722700,82396.84238512670,151692.49507492700,150852.58063343100,332310.4383527480,431687.05374383100,229771.4287244800,123441.39376863200,143567.12452397900,166673.17185782300,192201.36936168500,110956.29522537400,300694.4669851430,177689.67224102700,256261.15173295900,297860.9027592740,216739.6543598750,,168986.61751999200,240701.9933176020,118282.84858005200,124394.71370775600,314635.15853840100,186866.86646253400,152121.87838795200,96579.29218026360,148465.78596174500,92518.14734243600,357091.4100122480,122515.8525272630,221963.4078858930,174704.38530710900,181757.68606405900,247585.08884165300,278026.01564991700,178126.26336024100,122125.50778832600,98485.22494886970,104277.97573357900,92251.31464280080,119983.7742087420,101363.48202685600,101561.62953969700
2007-03-01,245720.8023282800,464119.7153295990,241067.61311064100,130863.47121935900,325086.0516357190,228567.25223553900,326613.8458445880,259924.59896089900,123947.46042123400,82581.78155457780,152019.67300584900,151453.10574256600,331721.1658453880,432099.96167301800,229708.33744096000,122891.91053668700,143901.7354448880,167149.30222659300,192120.8340460930,110947.78507635000,302359.55279988000,178032.81632354000,257246.66261100200,297911.5189567650,219278.31794567500,,169425.7565878000,240194.56982028200,118167.98623474200,124526.56707669500,314691.40011879600,186869.36927743100,152351.16426312800,96803.03349444010,148896.08274820500,92657.93141137220,358206.34646996700,122670.8507341010,222291.29381379400,175166.8058205620,182608.47120825500,247506.93781654000,277161.8075911650,177961.70756176800,122617.12503878000,98616.66518604340,104699.69812203600,92426.91846823300,120189.79017011200,101563.75624098200,101666.60871811600
2007-04-01,245852.4517591430,462224.747875358,239728.192070832,131067.16067740300,323447.07594330900,228667.03916044500,326743.37242216600,259679.89075849800,124403.623653988,82800.57205622190,152364.0712384360,152072.44547759100,331112.95889748100,432509.1079441680,229839.34457450900,122346.92480222000,144131.0267505080,167414.07808792800,191864.82761865000,111011.07001368200,304467.9639788640,178192.24716744100,258623.20670806800,297726.3008282970,221669.94693209000,,170068.89549745500,239619.3510375620,118039.21294504000,124613.50329696700,314829.4323920800,187085.72899925700,152492.43700227900,97107.17669085160,149293.23955586700,92806.1511285513,359131.1078829830,122781.42800890600,222734.24785472000,175880.34662783200,183600.14634162700,247989.67042232700,276327.79157615800,177692.88482683400,123123.55455690700,98775.54909601910,105240.98759108300,92587.56187670220,120251.33742722200,101775.90152676800,101684.68945218600
2007-05-01,245690.13980916400,459270.2640711190,237984.64099249000,131438.8229173460,321413.5800759520,228856.77290072400,326684.12112884900,259371.05174949000,124856.75696647200,82989.09523772100,152658.54723616000,152741.88210109200,330415.7482420750,432685.1105046560,230230.21650506600,121694.02953163400,144353.1640614920,167611.44124689500,191425.6360154430,110988.64342590400,306344.78405038900,178208.61875080800,260043.98130693300,297385.5249835950,224020.7006232000,,170660.93521365200,239195.83015661600,117888.6129126410,124655.34664331900,314890.56716135500,187619.63966096000,152560.4455004570,97474.22577636170,149675.08645558700,93003.76631509870,359553.3999653170,122848.29741487600,223468.49853422700,176593.90599749100,184780.44460561600,248690.69746100500,275601.53339746300,177350.05354831800,123464.30849351300,98858.4486996223,105568.77026715900,92884.70913333290,120366.15907060900,101886.9968547620,101685.46944673600
2007-06-01,245161.92030538300,455867.84223360300,235811.2278767260,131921.77526037500,318613.0361518530,228887.49147013100,326006.2447979450,258497.72198502900,125263.88217476500,83145.21329906750,152857.970703568,153389.71268121100,329438.3614894800,432657.4159398710,230635.1102394870,121082.28447406500,144502.56524775300,167902.13401406200,190853.8833330500,110955.69204917000,307552.4248748320,178104.25627172500,261024.73061623400,296726.8587422540,226602.56822158300,,171226.5221126550,238519.72079272200,117751.79302495400,124650.99377305300,314687.76029775700,188068.70800179700,152558.1310893250,97795.01149079580,149965.60250240100,93262.89548684950,359643.0131342300,122612.37050453800,224230.94785758000,177648.77877661600,186093.51875007700,249582.6105896310,274065.219300767,176771.78375531900,123742.50979468400,98936.79217082940,105784.51080298900,93141.88095780600,120693.57202009400,101924.18227721000,101705.88225022100
2007-07-01,244156.4297015830,451513.20682468700,233197.3209098960,132352.86609734900,315287.44406620100,228935.68053683800,324741.0580127860,257028.6094041530,125598.82147767200,83263.35136978570,152952.61328532700,153948.15846322900,328111.7713676970,431886.8451139470,230933.62146501300,120346.02905559100,144649.21686402600,168070.17860241200,190064.3880680390,110842.45935412900,308111.981473187,177868.82951755200,261538.95434800200,295895.94174483200,229216.00775255300,,171591.011260687,237919.5094890700,117568.7461716920,124626.55025929300,314229.53556189500,188490.38125250600,152396.32751140500,98058.55665196650,150278.91565369300,93573.41311803900,359650.76029956200,122485.08356972500,225016.10499711900,178477.08384949800,187076.7880181580,250077.68519387800,272841.30267497200,175864.201461677,123957.44080140000,98993.50206575140,105857.09502207100,93274.93500126780,120991.03864739000,101920.23388218900,101777.53837592800
2007-08-01,243018.65269244100,446972.40432887600,230309.48615550100,132811.00692054300,311719.06176520100,229001.41815677400,323206.8445631970,255009.87809406800,125858.36535701000,83387.34740630220,152987.87962827100,154451.79571373300,326736.85260911000,431315.33805977300,231074.09316866600,119702.93527151900,144770.9377045350,168065.8612782530,189334.2305356880,110811.86800385700,308545.1860194090,177570.3580534390,261638.01094854200,295143.42158068600,231788.31622765500,,172083.13405058100,237418.72353553700,117352.42489224300,124572.41728596700,313677.72612606400,188856.50207431300,152288.9173088560,98341.22335787970,150503.75420024200,93867.3035810329,359572.37909571500,122404.6545394520,225762.7732720150,179190.9884182270,187786.06084848900,250280.6734763700,271445.1367052720,175593.12986590100,124263.5527821210,99130.83839390570,105954.50253042900,93388.50590345610,121367.55476148000,101992.49536536000,101862.67676021100
2007-09-01,241964.87115431300,441870.3793678550,227352.47256549200,133262.5110780350,307737.42976660300,229009.1171036770,321695.984204609,252483.13856023400,125979.92856006600,83467.74144949970,152887.76357795400,154848.2768714750,325386.6045160110,430419.4100208340,230892.9821006760,118893.13285189700,144847.55067350900,168179.2408543430,188609.72453860500,110774.08050811300,308740.1439974100,177096.5449659630,261599.3369325700,294625.4890140670,233730.29919356700,,172586.00910521100,236908.54948110400,117185.33513519200,124465.2952392050,312906.9655795670,189145.86153437900,152209.61968204000,98557.85967385170,150616.78429762900,94099.13065481860,359583.0453683010,122441.40651983100,226661.13112052900,179420.34895164900,188264.50820606100,250078.62528350500,270419.7035181350,175706.66307768200,124535.68965668600,99229.36188988510,106032.47111313700,93535.76042557070,121671.69855981900,102085.28866908200,101942.26963709200
2007-10-01,241042.4401401780,436517.4321324120,224327.83667949300,133678.3427878430,303878.39828429800,229177.0585298300,320315.0665045450,249932.48842543200,126002.10090744700,83543.15825163320,152691.09607730600,155160.37836230400,323864.8962780470,430080.1348623570,230460.55194845400,118079.1922208590,144790.69594337800,168502.8304377180,187966.0340629140,110842.78405667100,308243.32582183000,176569.01785533900,261294.15890870800,294112.25644730000,235217.2014545110,,173142.58223478100,236320.3084449130,116990.98452656300,124301.88474052900,311530.7463180580,189335.52698544300,152235.8151817980,98739.50493733190,150690.79722538800,94252.77362602350,360013.846560542,122168.66696149900,227578.1068080460,179489.876845066,188806.2721764820,249987.02848146800,269278.899173876,176213.0362258910,124734.93322524000,99315.00287647530,106101.6736966070,93725.69496349190,122027.45229742600,102191.80094485100,102051.01379892500
2007-11-01,240127.13864169500,431136.8887054960,221164.853925806,134024.97234109200,298436.01761141900,229345.43069162100,318925.75341622200,246593.21458046000,125863.11187023700,83574.13624177790,152326.69395047400,155391.96123824000,322298.3437695890,429686.8558626960,229745.32202469200,117170.0685781430,144671.120891513,168987.16020629500,187088.76860352300,111042.23873977100,307043.0388106490,176019.79169754400,260632.6715974550,293211.79477684900,236467.22660929700,,173756.19757817900,235418.55425358500,116672.28617899100,124028.23857982900,309241.0960318970,189501.91019373500,152205.20307362600,98760.9334623438,150785.4335018950,94394.48890483810,360277.99483887600,121863.69813232000,228357.29958815100,179480.20708327100,189285.38299293300,249529.58651854900,268532.40065206600,176208.79651216300,124893.65695600200,99315.57532551450,106092.19424688800,93826.23935029530,122429.28391588600,102290.07182953300,102096.19990152100
2007-12-01,238922.23213717700,425368.6723452190,217956.68664609000,134344.7764185500,292531.0142320550,229436.62178919500,317513.9791799270,243267.75361136200,125640.78010980000,83643.54334487090,151951.09249374400,155542.1623808240,320727.3250476570,429431.60546431100,228907.67614065200,116365.41655605900,144530.90250843500,169467.82311185000,185977.46404944500,111353.56287344200,305595.5198509940,175368.09633155400,259737.58877640500,292084.4153726370,237688.26777107900,,174438.94230422500,234294.54205594400,116269.41624358500,123726.7182298030,306607.15976486000,189853.0246909020,152154.84940354500,98729.98540021110,150859.88604048200,94508.10131468860,360061.7193471490,121547.91330217600,229037.12579522100,179558.5247777510,189657.12037333500,248565.0621450060,267818.59406281500,176296.17099027200,124960.97526660600,99316.73674386420,106018.50377798200,93769.74432310300,122911.79430274400,102441.24323173400,102103.10899168100
2008-01-01,237529.05968383600,419623.678262409,214471.75569159600,134213.47501264100,285144.06778769900,229493.32112283,316275.0529918490,239708.87603026200,125271.10579850300,83749.0090942221,151385.59434025200,155643.2411370780,319093.2250571290,428855.5188743210,227926.40073570800,115544.1367213350,144487.41584513900,170294.57058802000,184693.97443347600,111564.26917904400,304158.8919427900,174656.98263403100,258422.83361649900,290151.0366062410,238495.96706354600,,175069.93617019300,233015.2805480080,115836.67554157700,123455.49238120200,304329.70754137400,190223.43772059000,152057.26013984700,98660.56080795860,150820.92726999400,94548.5117648599,359503.4843995890,121217.32903399700,229577.46029628100,179528.38573099700,189898.84049386400,246987.9763165110,266796.13494187500,176374.2347381640,125036.71987477600,99286.04948180270,105858.1224958780,93743.40796518090,123470.28130099500,102637.12652110400,102058.2088076870
2008-02-01,235969.48043114000,412842.0586433230,211032.3253592750,133838.03197091500,277098.7398329550,229382.03356555900,315284.82722327600,235435.9273047690,124915.79238825200,83911.13320717180,150749.815494506,155704.5542911720,317239.88895349500,428002.70818155700,227034.42367511100,114595.9777289410,144391.37045075300,170606.83703967700,183213.54400612500,111625.74312719300,302859.6739797860,173257.63288497700,257415.19758107700,288067.0451365000,238622.99671812900,,175482.11268785100,231961.4103198390,115419.82221142700,123328.96059936400,302506.7273564390,190918.21397092500,151784.72465755400,98615.15378040560,150793.52892348800,94601.16217741900,358723.0838287390,120745.97851599100,229634.68215814100,179389.52046197300,190116.6907242560,245518.08131187000,265096.5842924220,176469.2989581310,124998.86142836400,99298.01830874310,105694.72759246400,93647.40170306600,123931.51810877000,102729.10129627900,102037.42094540100
2008-03-01,234137.1649215380,404740.96902354400,207355.85750804000,133287.03423548900,268834.42478615000,229255.5784773690,314034.66431295200,230747.12402091100,124615.8523199200,84046.89266698090,149978.4127133040,155779.44456132900,315209.5396756640,427840.68590174700,226178.87206545100,113448.27464714000,144162.10317177000,170709.0903656200,181778.29223082800,111588.13764168400,301555.2224068700,172601.46370630600,256179.81175571500,285634.31566784,237922.49822959200,,175285.0255029430,230806.2028237180,115079.34514468800,123239.03627432200,300678.06184960700,191138.7818981680,151289.85816212100,98661.28777715010,150734.14342366900,94509.88846447550,357705.36692841100,120351.8402339020,229662.08144079200,179091.33266407900,190306.40555208500,244801.38012380800,263286.7991270610,176419.26064244100,124933.51210386400,99324.82702347360,105506.38568963800,93584.24722588750,124219.16143157000,102677.46573133800,102019.89072381800
